A

man/o		main
mang/i 	 	manger
mank/i		manquer
mar/o		mer, océan
mard/o* 	mardi
mark/o		signe, marque, timbre
mart/o* 	mars (mois)
maten/o 	matin
maten/mang/o*	déjeuner
mebl/o+ 	meuble
mejl/o* 	mile, mille (distance)
mem		même
membr/o*	membre
memor/i 	se souvenir
merit/i 	mériter
merkred/o*	mercredi
met/i		mettre, placer
metr/o+ 	mètre (mesure)
mez/o		milieu
mezur/i 	mesurer (quelque chose) (trans.)
mi		je, moi
mil		mille
milion/o*	million
milit/i 	faire la guerre
minut/o 	minute
mir/i		s'étonner
mok/i+		moquer
mol/a+		mou
moment/o	moment
mon/o		argent
monat/o 	mois
mond/o		monde
mont/o		montagne
montr/i 	montrer
monument/o+	monument
morgau 	 	demain
mort/i		mourir (intrans.)
mov/i		bouger (quelque chose) (trans.)
mult/a		beaucoup de
mur/o		mur
mus/o+		souris
mus/o+ 	 	mouche
muzeo+		musée

N

naci/o		nation
nag/i* 	 	nager
najbar/o+	voisin
nask/i		donner naissance à (trans.) (naskigi = naître)
natur/o 	nature
nau		 neuf
naz/o		nez
ne		non, pas
neces/a 	nécessaire
neg/o		neige
nek		ni, ni... ni... (conjonction)
nep/o+		petit-fils
nepr/e+ 	absolument, nécessairement
neutral/a*	neutre
ni		nous
nigr/a		noir
nokt/o		nuit
nom/o		nom
nombr/o 	nombre
nord/o+ 	nord
nov/a		nouveau
Nov-Jork/o*	New York
novembr/o*	novembre
nu		bon!, alors! (interjection)
nub/o		nuage
nul		zéro
nul/o*		nul, nom du chiffre zéro
nun		maintenant
nur		seulement (adverbe)

O

objekt/o+	objet
observ/i+	observer
odor/i+ 	sentir (avoir une odeur)
oft/e		souvent
ok		huit
okaz/i		avoir lieu
okcident/o+	ouest, occident
oktobr/o*	octobre
okul/o		oeil
okup/i		occuper
ol		que (lors d'une comparaison) (conjonction)
ond/o*		onde
oni		on (pronom indéfini)
onkl/o		oncle
opini/i 	penser, avoir une opinion
ord/o		ordre
ordon/i 	ordonner, commander
orel/o		oreille
orient/o+	est, orient
ost/o*		os
ov/o*		oeuf

P

pac/o		paix
paf/i*		tirer (arme à feu)
pag/i		payer
pan/o		pain
pantofl/o*	pantoufle
paper/o 	papier
pardon/i	pardonner
parenc/o+	parent (membre de la famille)
Pariz/o*	Paris
park/o+ 	parc
parol/i 	parler
part/o		part, partie
pas/i		passer
pas/i		marcher, faire des pas
patr/o		père
pec/o		morceau
pen/i		peiner, s'efforcer de
pens/i		penser
per		par, avec, au moyen de (préposition)
perd/i		perdre
permes/i	permettre, autoriser
person/o	personne (quelqu'un)
pet/i		demander (quelque chose)
pian/o+ 	piano
pied/o		pied
pilk/o* 	ballon
pipr/o+ 	poivre
plac/i*	 	plaire
plag/o*	 	plage
plank/o 	plancher
plej		le plus (superlatif) (adverbe)
plen/a		plein
plend/i 	se plaindre
plezur/o	plaisir
pli		plus (comparative) (adverbe)
plor/i		pleurer
plu		plus (adverbe)
plum/o		plume, stylo
pluv/o		pluie
polus/o*	pôle (nord et sud)
pom/o+		pomme
popol/o 	peuple
por		pour, afin de (préposition)
pord/o		porte
port/i		porter
post		après, derrière (préposition)
postul/i	exiger
pos/o* 	 	poche
post/o+	 	poste (courrier)
pov/i		pouvoir
praktik/o+	pratique (opp. de théorie)
prav/a		qui a raison
precip/a	principal
preg/i+	 	prier
prem/i		presser
pren/i		prendre
pres/i+ 	imprimer
preskau	 	presque (adverbe)
pret/a		prêt
preter		au-delà (préposition)
prezent/i	présenter
pri		à propos (préposition)
printemp/o	printemps
pro		à cause de, en raison de (préposition)
problem/o*	problème
profund/a	profond
progres/i+	progresser
prokrast/i+	retarder, différer
proksim/a	proche, près
promen/i*	se promener
promes/i+	promettre
propr/a 	propre (à soi)
prosper/i*	prospérer
prov/i		essayer
pruv/i+ 	prouver
pun/i*		punir
punkt/o 	point
pur/a		propre, pure

R

rajt/o		droit
rakont/i	raconter
rapid/a 	rapide
raz/i+		raser
real/a+ 	réel
reg/i		contrôler
regul/o+	règle
reg/o+ 	 	roi
renkont/i	rencontrer
respond/i	répondre
rest/i		rester
rest/o		reste
ricev/i 	recevoir
ric/a		riche
rid/i		rire
rigard/i	regarder
rimark/i	remarquer
rimed/o 	moyen, ressource
ripoz/i 	se reposer
river/o 	rivière
rob/o*		robe
romp/i		briser, casser (trans.)
rond/o		rond, cercle
roz/o		rose
rug/a		rouge

S

sabat/o*	samedi
sabl/o* 	sable
sag/o*		flèche
sag/a+ 	 	sage
sal/o+		sel
salt/i		sauter
salut/i 	saluer
sam/a		même, identique
san/a		sain, en bonne santé
San-Francisk/o* San Francisco
sandvic/o*	sandwich
sang/o		sang
sankt/a+	saint
sat/a		repu, rassasié
sci/i		savoir
scienc/o+	science
se		si (condition)
sed		mais (conjonction)
seg/o		chaise
sek/a*		sec
sekv/i		suivre
sem/i+		semer
semajn/o	semaine
sen		sans (préposition)
send/i		envoyer
sent/i		sentir, ressentir  (trans.)
sep		sept
septembr/o*	septembre
serc/i 	 	chercher
serv/i		servir
ses		six
si		soi, se  (pronom réfléchi)
sid/i		être assis
signif/i+	signifier, vouloir dire
silent/i	être silencieux
simi/o+ 	singe
simpl/a 	simple
sinjor/o	monsieur
skatol/o*	boîte
skrib/i 	écrire
soci/o+ 	société (communauté sociale)
societ/o+	société (club, organisation)
soif/i* 	avoir soif
sol/a		seul
solv/i* 	résoudre (trans.)
somer/o 	été
son/i		émettre un son, résonner
sonor/i+	sonner
spec/o		espèce, sorte
special/a+	spécial
spert/a+	expert, habile
sport/o+	sport
staci/o 	station (bus, train, etc.)
star/i		être debout
stat/o		état, condition
stel/o+ 	étoile
step/o* 	steppe
strat/o 	rue
stud/i* 	étudier
stult/a+	stupide
sub		sous (préposition)
sud/o+		sud
sufer/i 	souffrir
sufic/a	 	suffisant
sukces/i*	réussir
suker/o 	sucre
sun/o		Soleil
sup/o+		soupe
super		au-dessus de (préposition)
supr/o		sommet, haut
sur		sur (préposition)
surtut/o+	pardessus
svis/o+ 	Suisse (habitant)

S

saf/o* 	 	mouton
sajn/i 	 	sembler
sanc/o+	 	chance
sang/i	  	changer (trans.)
