***NAMEDLABELSIDS***	06	32C
**BIAS**	0.00000000000000000000 0.63408523797988891602
TOK-3-lemma:artista	0.00000000000000000000 0.08457096666097640991
TOK+2-lemma:artista	0.00000000000000000000 0.08456998690962791443
TOK+3-pos:PUNCT	0.00000000000000000000 0.43646565079689025879
TOK+3-lemma:"	0.00000000000000000000 0.41000322997570037842
DEP-CDIR-lemma:artista	0.00000000000000000000 0.08455430343747138977
DEP-CDIR-sem:sem-Hprof	0.00000000000000000000 0.65295132994651794434
TOK-1-lemma:-	0.00000000000000000000 -0.09214992634952068329
TOK-2-pos:SYMBOL	0.00000000000000000000 -0.58106206357479095459
TOK-2-lemma:R.	0.00000000000000000000 -0.76834699511528015137
TOK+1-lemma:.	0.00000000000000000000 -0.00520621566101908684
TOK+1-lemma:então	0.00000000000000000000 0.24812311679124832153
TOK+2-lemma:todo	0.00000000000000000000 0.24810272455215454102
DEP-SUBJ-lemma:todo	0.00000000000000000000 0.43821416795253753662
DEP-CDIR-lemma:deslocar	0.00000000000000000000 0.24799054861068725586
DEP-MOD-lemma:então	0.00000000000000000000 0.04552742652595043182
TOK-2-lemma:palco	0.00000000000000000000 -0.36960300803184509277
DEP-SUBJ-lemma:palco	0.00000000000000000000 -0.36957708001136779785
DEP-SUBJ-sem:Nloc	0.00000000000000000000 -0.26958888024091720581
DEP-MOD-lemma:sucessão	0.00000000000000000000 -0.36937251687049865723
DEP-MOD-sem:sem-event	0.00000000000000000000 0.30916205048561096191
DEP-MOD-sem:sem-unitype	0.00000000000000000000 0.48468092083930969238
DEP-MOD-lemma:tela	0.00000000000000000000 -0.36818400025367736816
DEP-MOD-sem:sem-mat-cloth	0.00000000000000000000 -0.36815856397151947021
TOK-2-lemma:olho	0.00000000000000000000 0.38928535580635070801
TOK-3-lemma:eu	0.00000000000000000000 0.59434215724468231201
TOK+2-lemma:aquilo	0.00000000000000000000 0.38891841471195220947
TOK+3-lemma:estar	0.00000000000000000000 0.88080534338951110840
DEP-MOD-lemma:estar	0.00000000000000000000 0.69561767578125000000
TOK-2-pos:ADV	0.00000000000000000000 0.34873062372207641602
TOK-2-lemma:adiante	0.00000000000000000000 -0.72344192862510681152
TOK-3-lemma:como	0.00000000000000000000 -0.39813238382339477539
DEP-SUBJ-lemma:decisão	0.00000000000000000000 -0.72293484210968017578
DEP-MOD-lemma:adiante	0.00000000000000000000 -0.72251299023628234863
TOK-2-pos:VERB	0.00000000000000000000 -0.42266236245632171631
TOK-2-lemma:gostar	0.00000000000000000000 -0.13784651458263397217
TOK-3-pos:PUNCT	0.00000000000000000000 -0.00255252048373222351
