***NAMEDLABELSIDS***	06	32C
**BIAS**	0.00000000000000000000 0.63408523797988891602
DEP-CDIR-lemma:criação	0.00000000000000000000 -0.19154440611600875854
DEP-MOD-lemma:petróleo	0.00000000000000000000 -0.19153799116611480713
DEP-MOD-lemma:gás	0.00000000000000000000 -0.19153157621622085571
TOK-3-lemma:continuar	0.00000000000000000000 0.08869112282991409302
TOK+3-lemma:fundação_March	0.00000000000000000000 0.08868987113237380981
DEP-MOD-lemma:fundação_March	0.00000000000000000000 0.08868861198425292969
TOK-3-lemma:limite	0.00000000000000000000 0.22462066262960433960
TOK+1-lemma:tudo	0.00000000000000000000 0.22461564838886260986
TOK+3-pos:REL	0.00000000000000000000 0.33170539140701293945
TOK+3-lemma:que	0.00000000000000000000 0.03213531337678432465
DEP-SUBJ-lemma:tudo	0.00000000000000000000 0.22458314895629882812
TOK-1-lemma:estrutural	0.00000000000000000000 -0.09786382690072059631
TOK-2-lemma:fundo	0.00000000000000000000 -0.09785865992307662964
DEP-SUBJ-lemma:região	0.00000000000000000000 -0.09785342216491699219
DEP-CDIR-lemma:apoio	0.00000000000000000000 -0.09784823656082153320
DEP-MOD-lemma:dois_mil_e_seis	0.00000000000000000000 -0.09784305095672607422
DEP-MOD-lemma:efeito	0.00000000000000000000 -0.09783783182501792908
TOK-1-lemma:habitualmente	0.00000000000000000000 0.08554189279675483704
DEP-SUBJ-lemma:metade	0.00000000000000000000 0.28121384233236312866
DEP-SUBJ-sem:sem-amount	0.00000000000000000000 0.12884254008531570435
DEP-CDIR-lemma:televisão	0.00000000000000000000 0.08553059399127960205
DEP-MOD-lemma:habitualmente	0.00000000000000000000 0.08552987873554229736
TOK+2-lemma:BBC	0.00000000000000000000 0.19564513862133026123
DEP-CDIR-lemma:BBC	0.00000000000000000000 0.19563847780227661133
DEP-MOD-lemma:noite_de_estreia	0.00000000000000000000 0.19563179463148117065
DEP-MOD-lemma:enganar	0.00000000000000000000 -0.33495356142520904541
TOK+2-lemma:o_major_Valentim_Loureiro	0.00000000000000000000 -0.03205540031194686890
TOK+3-pos:VASP	0.00000000000000000000 -0.03205326385796070099
TOK+3-lemma:continuar_a	0.00000000000000000000 -0.03205111436545848846
DEP-SUBJ-lemma:mesmo	0.00000000000000000000 -0.03204897046089172363
TOK-1-lemma:sob_pena_de	0.00000000000000000000 -0.46123413741588592529
DEP-SUBJ-lemma:ponto	0.00000000000000000000 -0.46117450296878814697
TOK-3-lemma:este	0.00000000000000000000 -0.09189728274941444397
DEP-SUBJ-lemma:este	0.00000000000000000000 -0.28772664815187454224
DEP-MOD-lemma:necessidade	0.00000000000000000000 -0.37054157257080078125
DEP-MOD-sem:sem-am	0.00000000000000000000 -0.45527289807796478271
DEP-MOD-lemma:urgência	0.00000000000000000000 -0.37037859857082366943
TOK+1-lemma:sem	0.00000000000000000000 0.16864481568336486816
TOK+2-pos:VCOP	0.00000000000000000000 0.16863586008548736572
TOK+2-lemma:ser	0.00000000000000000000 0.05582735873758792877
TOK+3-lemma:ver	0.00000000000000000000 0.16860858350992202759
DEP-SUBJ-lemma:varanda	0.00000000000000000000 0.25275352597236633301
DEP-SUBJ-sem:sem-building	0.00000000000000000000 0.25273051857948303223
TOK-1-pos:VCOP	0.00000000000000000000 0.17210806161165237427
TOK-2-lemma:sem	0.00000000000000000000 0.08414044231176376343
TOK-3-lemma:ver	0.00000000000000000000 0.08413962274789810181
TOK-2-lemma:ministro_João_Cravinho	0.00000000000000000000 -0.17539758980274200439
DEP-SUBJ-lemma:pretensão	0.00000000000000000000 -0.17536115646362304688
DEP-MOD-lemma:fundo	0.00000000000000000000 -0.17532478272914886475
DEP-MOD-sem:sem-org	0.00000000000000000000 -0.17528847604990005493
TOK-2-lemma:delinquência	0.00000000000000000000 -0.20291090011596679688
TOK+2-lemma:quase	0.00000000000000000000 -0.20290485024452209473
TOK+3-lemma:totalidade	0.00000000000000000000 -0.20289883017539978027
DEP-SUBJ-lemma:totalidade	0.00000000000000000000 -0.20289273560047149658
DEP-MOD-lemma:MP	0.00000000000000000000 -0.20288672298192977905
TOK-1-lemma:depressa	0.00000000000000000000 -0.52301290631294250488
TOK-3-lemma:engrossar	0.00000000000000000000 -0.52280241250991821289
TOK+2-lemma:socialista	0.00000000000000000000 -0.52259248495101928711
TOK+3-lemma:agitar	0.00000000000000000000 -0.52238325774669647217
DEP-CDIR-lemma:socialista	0.00000000000000000000 -0.52217465639114379883
DEP-MOD-lemma:depressa	0.00000000000000000000 -0.52196650207042694092
TOK-1-lemma:tempo	0.00000000000000000000 -0.27305313944816589355
TOK-3-lemma:passar	0.00000000000000000000 -0.27304398268461227417
TOK+3-lemma:luz	0.00000000000000000000 -0.27303499728441238403
DEP-MOD-lemma:vir	0.00000000000000000000 -0.27302587032318115234
DEP-SUBJ-lemma:guerreiro	0.00000000000000000000 0.09477831050753593445
TOK-3-lemma:a_partir_de	0.00000000000000000000 -0.41814978420734405518
TOK+2-lemma:lógica	0.00000000000000000000 -0.41810248792171478271
DEP-CDIR-lemma:lógica	0.00000000000000000000 -0.41805528104305267334
DEP-CDIR-sem:sem-domain	0.00000000000000000000 -0.41800804436206817627
TOK-1-lemma:PP	0.00000000000000000000 -0.38551272451877593994
DEP-SUBJ-lemma:PP	0.00000000000000000000 -0.38546788692474365234
TOK+1-lemma:tão	0.00000000000000000000 0.17879625409841537476
TOK+2-lemma:mal	0.00000000000000000000 0.17878934741020202637
DEP-MOD-lemma:mal	0.00000000000000000000 0.24279589205980300903
TOK+2-lemma:bom	0.00000000000000000000 -0.36425393819808959961
TOK+3-lemma:olho	0.00000000000000000000 -0.36413060128688812256
DEP-SUBJ-lemma:retorno	0.00000000000000000000 -0.12327864766120910645
DEP-CDIR-lemma:algo	0.00000000000000000000 -0.12327367812395095825
DEP-MOD-lemma:despesa	0.00000000000000000000 -0.12326861172914505005
DEP-MOD-lemma:contestar	0.00000000000000000000 -0.12326361984014511108
TOK+2-lemma:livre	0.00000000000000000000 -0.57548823952674865723
DEP-SUBJ-lemma:escravo	0.00000000000000000000 -0.57525658607482910156
DEP-MOD-lemma:amo	0.00000000000000000000 -0.57502557337284088135
TOK-2-lemma:vantagem	0.00000000000000000000 -0.36257682740688323975
TOK+2-lemma:se	0.00000000000000000000 -0.36249598860740661621
DEP-SUBJ-lemma:vantagem	0.00000000000000000000 -0.36241537332534790039
DEP-MOD-lemma:baixar	0.00000000000000000000 -0.36233469843864440918
TOK-2-lemma:conversa	0.00000000000000000000 -0.06187902577221393585
TOK+2-pos:VF	0.00000000000000000000 -0.30429031699895858765
DEP-CDIR-lemma:descrever	0.00000000000000000000 -0.06179746985435485840
TOK+2-lemma:filme	0.00000000000000000000 0.15176824480295181274
DEP-CDIR-lemma:casa	0.00000000000000000000 -0.61519381403923034668
TOK-2-lemma:passeio	0.00000000000000000000 -0.37711648643016815186
TOK+2-lemma:agente	0.00000000000000000000 -0.37710009515285491943
TOK+3-lemma:encaminhar	0.00000000000000000000 -0.37708392739295959473
DEP-CDIR-lemma:encaminhar	0.00000000000000000000 -0.37706761062145233154
TOK-2-lemma:norte-americano	0.00000000000000000000 -0.43262460827827453613
TOK-3-lemma:indústria_musical	0.00000000000000000000 -0.43256168067455291748
DEP-SUBJ-lemma:indústria_musical	0.00000000000000000000 -0.43249899148941040039
DEP-MOD-lemma:êxito	0.00000000000000000000 -0.43243627250194549561
TOK-2-lemma:emigrante	0.00000000000000000000 -0.36695857346057891846
TOK-3-pos:ADJ	0.00000000000000000000 -0.21933883428573608398
TOK-3-lemma:antigo	0.00000000000000000000 -0.36679828166961669922
TOK+2-lemma:obrigar	0.00000000000000000000 -0.36671072244644165039
TOK-2-lemma:casa	0.00000000000000000000 0.05549155920743942261
TOK+1-lemma:tanque	0.00000000000000000000 0.05549138411879539490
DEP-CDIR-lemma:tanque	0.00000000000000000000 0.05549120903015136719
DEP-CDIR-sem:sem-v2	0.00000000000000000000 0.05549103021621704102
TOK-2-pos:VMOD	0.00000000000000000000 0.09638744220137596130
TOK-2-lemma:dever	0.00000000000000000000 0.21275252848863601685
TOK+1-lemma:por	0.00000000000000000000 0.20917586982250213623
TOK+3-lemma:ministério_Público	0.00000000000000000000 0.09149595350027084351
TOK-2-lemma:mal	0.00000000000000000000 0.06375178322196006775
DEP-SUBJ-lemma:"_touca_"	0.00000000000000000000 0.06375165097415447235
DEP-MOD-lemma:que	0.00000000000000000000 0.12504084780812263489
TOK-3-lemma:Irlanda-Portugal	0.00000000000000000000 0.01358949672430753708
TOK+1-lemma:adepto	0.00000000000000000000 0.01358949113637208939
DEP-CDIR-lemma:polémica	0.00000000000000000000 -0.36916583776473999023
DEP-MOD-lemma:Alemanha	0.00000000000000000000 -0.36914913356304168701
DEP-MOD-lemma:desmantelamento	0.00000000000000000000 -0.36913250386714935303
TOK-2-lemma:costumar	0.00000000000000000000 0.10140432417392730713
TOK-3-lemma:não	0.00000000000000000000 0.21025859564542770386
TOK+2-lemma:ali	0.00000000000000000000 0.10139919444918632507
TOK+3-lemma:senão	0.00000000000000000000 0.10139811784029006958
DEP-SUBJ-lemma:dançantes-tanguinha	0.00000000000000000000 0.10139705240726470947
DEP-MOD-lemma:mesmo	0.00000000000000000000 0.00514059711713343859
DEP-MOD-lemma:este	0.00000000000000000000 0.10139453038573265076
TOK+1-lemma:população	0.00000000000000000000 0.00323087652213871479
TOK+2-lemma:contra	0.00000000000000000000 0.00323088665027171373
TOK+3-lemma:população	0.00000000000000000000 0.00323089736048132181
DEP-SUBJ-lemma:suspeita	0.00000000000000000000 0.00323090841993689537
DEP-MOD-lemma:no_futuro	0.00000000000000000000 0.00323091796599328518
DEP-MOD-lemma:população	0.00000000000000000000 0.00323092751204967499
TOK+3-lemma:mesmo	0.00000000000000000000 -0.09625345095992088318
DEP-SUBJ-lemma:Europa-América	0.00000000000000000000 -0.09624960646033287048
DEP-MOD-lemma:monstro	0.00000000000000000000 -0.09624576196074485779
TOK-1-lemma:Paula	0.00000000000000000000 0.25929498672485351562
DEP-SUBJ-lemma:desigualdade	0.00000000000000000000 0.25928105413913726807
DEP-CDIR-lemma:novela	0.00000000000000000000 0.25926717370748519897
DEP-CDIR-lemma:Paulo	0.00000000000000000000 0.25925324112176895142
DEP-CDIR-lemma:margem	0.00000000000000000000 0.08141815289855003357
TOK-1-lemma:jogador	0.00000000000000000000 0.06458832696080207825
TOK+2-lemma:mesmo	0.00000000000000000000 0.06458633951842784882
TOK+3-lemma:ação	0.00000000000000000000 0.06458437815308570862
DEP-SUBJ-lemma:jogador	0.00000000000000000000 0.35883112251758575439
DEP-MOD-lemma:ação	0.00000000000000000000 0.48887099325656890869
TOK+3-lemma:caso_Saramago	0.00000000000000000000 0.12915219366550445557
TOK+3-lemma:caso	0.00000000000000000000 0.38909257948398590088
DEP-MOD-lemma:ir	0.00000000000000000000 0.16107749938964843750
TOK+2-lemma:menino	0.00000000000000000000 0.01542497146874666214
DEP-SUBJ-lemma:menino	0.00000000000000000000 0.01542491139844059944
DEP-MOD-lemma:estado	0.00000000000000000000 0.01542484946548938751
DEP-MOD-lemma:perguntar	0.00000000000000000000 0.01542478613555431366
TOK-3-lemma:ainda_que	0.00000000000000000000 0.08938993141055107117
DEP-SUBJ-lemma:cancela	0.00000000000000000000 0.08938964828848838806
TOK-2-lemma:antes_de	0.00000000000000000000 0.08737844973802566528
TOK+3-lemma:Alameda	0.00000000000000000000 0.08737722411751747131
DEP-SUBJ-lemma:PSP	0.00000000000000000000 0.08737600967288017273
DEP-MOD-lemma:Alameda	0.00000000000000000000 0.08737479895353317261
DEP-MOD-lemma:regimento	0.00000000000000000000 0.08737355098128318787
TOK-2-lemma:mais	0.00000000000000000000 0.11714236065745353699
TOK-3-lemma:nunca	0.00000000000000000000 0.11714108660817146301
DEP-SUBJ-lemma:perfil	0.00000000000000000000 0.07396576739847660065
TOK-1-lemma:com_o_tempo	0.00000000000000000000 0.05552697740495204926
TOK-2-lemma:só	0.00000000000000000000 0.05552629940211772919
TOK+2-lemma:resultado	0.00000000000000000000 0.05552561767399311066
DEP-CDIR-lemma:resultado	0.00000000000000000000 0.05552493967115879059
DEP-MOD-lemma:com_o_tempo	0.00000000000000000000 0.05552426166832447052
TOK-2-lemma:inspetor	0.00000000000000000000 0.46800446510314941406
TOK-2-lemma:ponto	0.00000000000000000000 -0.05616298876702785492
TOK+2-lemma:chegar	0.00000000000000000000 -0.05615988560020923615
DEP-CDIR-lemma:chegar	0.00000000000000000000 -0.05615672841668128967
DEP-MOD-lemma:chegar	0.00000000000000000000 -0.05615362338721752167
TOK-1-lemma:programar	0.00000000000000000000 0.03086115326732397079
TOK-2-lemma:esse	0.00000000000000000000 0.03086074721068143845
TOK+1-pos:NUM	0.00000000000000000000 0.03086035419255495071
TOK+2-lemma:dia	0.00000000000000000000 0.03085994161665439606
DEP-CDIR-lemma:dia	0.00000000000000000000 0.03085954207926988602
TOK+3-lemma:ao_contrário_de	0.00000000000000000000 -0.15494252741336822510
TOK-3-lemma:já	0.00000000000000000000 0.08885821327567100525
DEP-MOD-lemma:o_tempo_em_Barcelona	0.00000000000000000000 0.08885750174522399902
TOK-3-pos:PP	0.00000000000000000000 -0.12005770951509475708
TOK-3-lemma:de_desenvolvimento	0.00000000000000000000 -0.12005392462015151978
DEP-MOD-lemma:ocupar	0.00000000000000000000 -0.12005009502172470093
TOK-3-lemma:desenvolvimento	0.00000000000000000000 -0.38454747200012207031
TOK-2-lemma:porcento	0.00000000000000000000 0.17278271913528442383
TOK-3-lemma:oito	0.00000000000000000000 0.17277391999959945679
TOK+3-lemma:perda	0.00000000000000000000 0.17276506125926971436
DEP-SUBJ-lemma:perda	0.00000000000000000000 0.17275618761777877808
TOK+1-lemma:algum	0.00000000000000000000 0.54230539500713348389
DEP-CDIR-lemma:algum	0.00000000000000000000 0.54213973879814147949
TOK-1-lemma:o_que	0.00000000000000000000 0.35332868993282318115
TOK-2-lemma:pouco_a_pouco	0.00000000000000000000 -0.03339532762765884399
TOK-3-lemma:avançar	0.00000000000000000000 -0.03339317068457603455
TOK+2-lemma:o_total	0.00000000000000000000 -0.03339101374149322510
TOK+3-lemma:parcial	0.00000000000000000000 -0.03338886052370071411
TOK+2-lemma:companheiro	0.00000000000000000000 0.10510418936610221863
DEP-CDIR-lemma:companheiro	0.00000000000000000000 0.10510335490107536316
DEP-CDIR-sem:sem-hfam	0.00000000000000000000 0.11474251374602317810
TOK+3-lemma:isto	0.00000000000000000000 -0.05887885950505733490
TOK-2-lemma:mês	0.00000000000000000000 0.27649564296007156372
DEP-SUBJ-lemma:casa	0.00000000000000000000 0.27648615837097167969
TOK-2-lemma:rua_de_Guimarães	0.00000000000000000000 0.27529087662696838379
TOK+2-lemma:maneira	0.00000000000000000000 0.27527830749750137329
DEP-SUBJ-lemma:maneira	0.00000000000000000000 0.27526565641164779663
DEP-MOD-lemma:viver	0.00000000000000000000 0.27525307238101959229
TOK-2-lemma:dizer	0.00000000000000000000 0.10012817010283470154
TOK-3-pos:VASP	0.00000000000000000000 0.10012735053896903992
TOK-3-lemma:costumar	0.00000000000000000000 0.10012655705213546753
TOK+2-lemma:baliza	0.00000000000000000000 0.10012574121356010437
TOK+3-lemma:de_quinze_em_quinze_dia	0.00000000000000000000 0.10012495517730712891
DEP-CDIR-lemma:baliza	0.00000000000000000000 0.10012413561344146729
DEP-MOD-lemma:dia	0.00000000000000000000 0.10012332350015640259
TOK-1-lemma:muito	0.00000000000000000000 -0.42459791898727416992
DEP-SUBJ-lemma:muito	0.00000000000000000000 -0.42446836829185485840
TOK+2-lemma:o_procuradoria-geral	0.00000000000000000000 -0.15082622691988945007
TOK+3-lemma:de_o_República	0.00000000000000000000 -0.15081876143813133240
DEP-SUBJ-lemma:meio	0.00000000000000000000 -0.15081127360463142395
DEP-CDIR-lemma:ter	0.00000000000000000000 -0.17860431224107742310
DEP-MOD-lemma:pelo_menos	0.00000000000000000000 0.03058161400258541107
TOK-2-lemma:Rio_frio	0.00000000000000000000 0.11485964059829711914
TOK+1-lemma:quanto	0.00000000000000000000 0.11485892161726951599
TOK+2-lemma:pessoa	0.00000000000000000000 0.22094852477312088013
TOK-2-lemma:pensamento	0.00000000000000000000 -0.21911211311817169189
TOK+3-lemma:escasso	0.00000000000000000000 -0.21909864246845245361
DEP-MOD-lemma:processo	0.00000000000000000000 -0.21908528357744216919
TOK-2-lemma:desejo	0.00000000000000000000 -0.13775267824530601501
TOK+1-lemma:rever	0.00000000000000000000 -0.13774800673127174377
TOK+3-lemma:tratado	0.00000000000000000000 -0.13774333149194717407
DEP-CDIR-lemma:partido	0.00000000000000000000 0.28094603866338729858
DEP-MOD-lemma:virtude	0.00000000000000000000 0.28093253076076507568
DEP-MOD-lemma:secularismo	0.00000000000000000000 0.28091886639595031738
TOK+2-lemma:mancha	0.00000000000000000000 0.06660965830087661743
DEP-MOD-lemma:prolongar	0.00000000000000000000 0.06660941243171691895
TOK+2-lemma:agora	0.00000000000000000000 0.16697239875793457031
TOK-2-lemma:português	0.00000000000000000000 0.05045896582305431366
TOK-3-lemma:descolonização	0.00000000000000000000 0.05045834183692932129
TOK+2-lemma:Angola	0.00000000000000000000 0.05045770853757858276
TOK-3-lemma:hipótese	0.00000000000000000000 -0.33384391665458679199
TOK+1-lemma:regressar	0.00000000000000000000 -0.33382521569728851318
DEP-SUBJ-lemma:hipótese	0.00000000000000000000 -0.33380664885044097900
DEP-CDIR-lemma:regressar	0.00000000000000000000 -0.33378791809082031250
TOK+1-lemma:só	0.00000000000000000000 0.08181346580386161804
TOK+2-lemma:hoje	0.00000000000000000000 0.08181050419807434082
DEP-MOD-lemma:vinte_e_uma_hora_e_trinta	0.00000000000000000000 0.08180756494402885437
DEP-MOD-lemma:dezassete_hora	0.00000000000000000000 0.08180461078882217407
DEP-MOD-lemma:minuto	0.00000000000000000000 0.08180164918303489685
TOK-3-lemma:assembleia_municipal_de_o_Porto	0.00000000000000000000 -0.28338237106800079346
TOK+3-lemma:candidato	0.00000000000000000000 -0.28337479382753372192
TOK-1-lemma:bordo	0.00000000000000000000 0.06835170090198516846
TOK-2-lemma:para	0.00000000000000000000 0.06835100427269935608
TOK-3-lemma:puxar	0.00000000000000000000 0.06835030764341354370
TOK+3-lemma:lágrima	0.00000000000000000000 0.06834961660206317902
DEP-SUBJ-lemma:lágrima	0.00000000000000000000 0.06834893114864826202
DEP-MOD-lemma:correr	0.00000000000000000000 0.14066185802221298218
TOK-2-lemma:isso	0.00000000000000000000 0.23185394704341888428
TOK-3-lemma:integracionista	0.00000000000000000000 0.05253465101122856140
DEP-SUBJ-pos:ADJ	0.00000000000000000000 0.68462941050529479980
DEP-SUBJ-lemma:integracionista	0.00000000000000000000 0.05252603441476821899
DEP-MOD-lemma:logo	0.00000000000000000000 0.05252570658922195435
TOK+2-lemma:criar	0.00000000000000000000 0.40487395226955413818
DEP-MOD-lemma:criar	0.00000000000000000000 0.40480095148086547852
TOK-3-lemma:dois_mil	0.00000000000000000000 0.22679736465215682983
DEP-MOD-lemma:de_o_próximo_ano	0.00000000000000000000 0.22677178680896759033
DEP-SUBJ-lemma:membro	0.00000000000000000000 0.06106515601277351379
DEP-MOD-lemma:Castelo_Branco	0.00000000000000000000 0.06106485612690448761
DEP-SUBJ-lemma:detalhe	0.00000000000000000000 0.11120846495032310486
DEP-CDIR-lemma:clarão	0.00000000000000000000 0.11120674014091491699
TOK-1-lemma:Raffarin	0.00000000000000000000 -0.10347584635019302368
TOK-3-lemma:candidato	0.00000000000000000000 -0.10347105190157890320
TOK+3-lemma:autoridade	0.00000000000000000000 -0.10346628725528717041
DEP-SUBJ-lemma:Raffarin	0.00000000000000000000 -0.10346148163080215454
DEP-MOD-lemma:autoridade	0.00000000000000000000 -0.10345668345689773560
DEP-MOD-lemma:causa	0.00000000000000000000 -0.10345190390944480896
DEP-MOD-lemma:caso	0.00000000000000000000 0.06670770421624183655
TOK+3-lemma:desespero	0.00000000000000000000 -0.45382940769195556641
TOK+3-lemma:um_primeiro	0.00000000000000000000 0.17014090716838836670
DEP-SUBJ-lemma:caso	0.00000000000000000000 0.17013223469257354736
TOK-1-lemma:apenas	0.00000000000000000000 0.16037295013666152954
TOK-3-lemma:em_uníssono	0.00000000000000000000 0.05448570474982261658
TOK+1-lemma:criança	0.00000000000000000000 0.05448528937995433807
DEP-SUBJ-lemma:criança	0.00000000000000000000 0.05448483303189277649
DEP-MOD-lemma:hora	0.00000000000000000000 0.05448437854647636414
DEP-MOD-lemma:meter	0.00000000000000000000 0.05448396690189838409
TOK-2-lemma:cinco	0.00000000000000000000 -0.20930397510528564453
TOK-3-lemma:duzentos_e_vinte	0.00000000000000000000 -0.02841516956686973572
DEP-SUBJ-lemma:cinco	0.00000000000000000000 -0.02841217629611492157
DEP-MOD-lemma:domingo	0.00000000000000000000 0.10074120014905929565
TOK-1-pos:PP	0.00000000000000000000 0.15595281124114990234
TOK-1-lemma:de_mil_novecentos_e_noventa_e_oito	0.00000000000000000000 0.15594949573278427124
TOK-2-pos:PP	0.00000000000000000000 0.15594621747732162476
TOK-2-lemma:em_junho	0.00000000000000000000 0.15594291687011718750
TOK-3-lemma:mas	0.00000000000000000000 0.15593965351581573486
TOK+2-lemma:dispensar	0.00000000000000000000 0.15593628585338592529
TOK-1-lemma:Reprazent	0.00000000000000000000 0.41293916106224060059
TOK+1-lemma:juntar	0.00000000000000000000 0.41277752816677093506
DEP-SUBJ-lemma:Reprazent	0.00000000000000000000 0.41261629760265350342
DEP-CDIR-lemma:juntar	0.00000000000000000000 0.41245545446872711182
TOK-3-lemma:chegar	0.00000000000000000000 0.44508013129234313965
TOK+3-lemma:morrer	0.00000000000000000000 0.14400674402713775635
DEP-MOD-lemma:morrer	0.00000000000000000000 0.14400444924831390381
TOK-2-lemma:João_Barrento	0.00000000000000000000 -0.34538914263248443604
TOK+2-lemma:imediatamente	0.00000000000000000000 -0.34533239901065826416
DEP-MOD-lemma:primeiro	0.00000000000000000000 -0.34527544677257537842
DEP-MOD-lemma:imediatamente	0.00000000000000000000 -0.34521876275539398193
TOK-1-lemma:Boesak	0.00000000000000000000 -0.20032443851232528687
TOK-3-lemma:oitenta	0.00000000000000000000 -0.20032010227441787720
TOK+3-lemma:fama	0.00000000000000000000 -0.20031572133302688599
DEP-SUBJ-lemma:Boesak	0.00000000000000000000 -0.20031138509511947632
DEP-MOD-lemma:fama	0.00000000000000000000 -0.20030704140663146973
TOK+1-lemma:Tom	0.00000000000000000000 0.18366127461194992065
DEP-CDIR-lemma:Tom	0.00000000000000000000 0.18365871906280517578
TOK+2-lemma:estudo	0.00000000000000000000 0.06602669879794120789
DEP-CDIR-lemma:estudo	0.00000000000000000000 0.06602620147168636322
DEP-CDIR-sem:sem-sem-l	0.00000000000000000000 0.06602569110691547394
TOK+3-lemma:sucessor	0.00000000000000000000 0.40272641181945800781
TOK-2-lemma:Casamansa	0.00000000000000000000 -0.22907648980617523193
TOK+2-lemma:bem	0.00000000000000000000 -0.22906144708395004272
DEP-MOD-lemma:haver	0.00000000000000000000 0.05061852931976318359
TOK-2-lemma:americano	0.00000000000000000000 0.06146367639303207397
TOK+1-lemma:página	0.00000000000000000000 0.06146335788071155548
TOK+2-pos:NUM	0.00000000000000000000 0.06146299280226230621
TOK+2-lemma:doze	0.00000000000000000000 0.06146265566349029541
DEP-SUBJ-lemma:situação	0.00000000000000000000 0.06146229617297649384
DEP-CDIR-lemma:página	0.00000000000000000000 0.06146194972097873688
DEP-SUBJ-lemma:turista	0.00000000000000000000 -0.60887616872787475586
DEP-CDIR-lemma:este_espetáculo	0.00000000000000000000 -0.60874071717262268066
TOK-2-lemma:pai	0.00000000000000000000 -0.32734084129333496094
DEP-MOD-lemma:hipótese	0.00000000000000000000 -0.32732266187667846680
TOK-2-lemma:a_tempo	0.00000000000000000000 0.30064924061298370361
TOK+3-lemma:isso	0.00000000000000000000 0.30062896013259887695
DEP-MOD-lemma:significar	0.00000000000000000000 0.30060890316963195801
TOK-3-lemma:embora	0.00000000000000000000 0.12927407398819923401
DEP-SUBJ-lemma:Eduarda_Azevedo	0.00000000000000000000 0.07392554730176925659
DEP-CDIR-lemma:novidade	0.00000000000000000000 0.20125254988670349121
DEP-MOD-lemma:Consumer_Electronic_show	0.00000000000000000000 0.20123985409736633301
DEP-MOD-lemma:empresa	0.00000000000000000000 0.20122713595628738403
TOK-1-lemma:porque	0.00000000000000000000 0.39536467194557189941
DEP-CDIR-lemma:dirigente	0.00000000000000000000 0.10130072385072708130
DEP-CDIR-lemma:governante	0.00000000000000000000 0.10129970684647560120
DEP-MOD-lemma:casa	0.00000000000000000000 0.10129873827099800110
TOK-2-lemma:número	0.00000000000000000000 0.45186817646026611328
TOK+2-lemma:o_partido	0.00000000000000000000 0.45159092545509338379
DEP-SUBJ-lemma:governante	0.00000000000000000000 0.45131452381610870361
DEP-CDIR-lemma:estar	0.00000000000000000000 0.45103932917118072510
TOK+3-lemma:coreógrafo	0.00000000000000000000 0.23837207257747650146
TOK-1-lemma:Timor-leste	0.00000000000000000000 0.41976280510425567627
TOK-3-lemma:genocídio	0.00000000000000000000 0.41964238882064819336
DEP-SUBJ-lemma:isso	0.00000000000000000000 0.55018621683120727539
DEP-CDIR-lemma:aitaraks	0.00000000000000000000 0.41935266554355621338
DEP-MOD-lemma:forma	0.00000000000000000000 0.22843077778816223145
TOK-2-lemma:r	0.00000000000000000000 0.39297190308570861816
TOK+3-lemma:fim	0.00000000000000000000 0.17815805971622467041
DEP-SUBJ-lemma:Inspeção‐Geral_de_Finanças	0.00000000000000000000 0.17815248668193817139
DEP-MOD-lemma:fim	0.00000000000000000000 0.17814697325229644775
TOK-1-lemma:mercado	0.00000000000000000000 0.19168782979249954224
DEP-SUBJ-lemma:mercado	0.00000000000000000000 0.19168002903461456299
DEP-SUBJ-sem:sem-inst	0.00000000000000000000 0.19167222827672958374
DEP-MOD-lemma:ano	0.00000000000000000000 0.19166442006826400757
TOK-1-lemma:Guterres	0.00000000000000000000 -0.45043464004993438721
TOK-2-lemma:segundo	0.00000000000000000000 -0.45036090910434722900
DEP-SUBJ-pos:PASTPART	0.00000000000000000000 -0.45028740167617797852
DEP-SUBJ-lemma:apor	0.00000000000000000000 -0.45021396875381469727
DEP-CDIR-lemma:Brasil	0.00000000000000000000 0.16899542510509490967
DEP-MOD-lemma:bordo	0.00000000000000000000 0.16899140924215316772
TOK+2-lemma:vulto	0.00000000000000000000 0.07194547355175018311
DEP-SUBJ-lemma:só	0.00000000000000000000 0.07194504514336585999
TOK-1-pos:SYMBOL	0.00000000000000000000 -0.18006563186645507812
TOK-1-lemma:porcento	0.00000000000000000000 -0.18005844950675964355
TOK-3-lemma:vinte	0.00000000000000000000 -0.18005132675170898438
TOK+1-lemma:estabelecer	0.00000000000000000000 -0.18004412949085235596
TOK+3-lemma:mensalidade	0.00000000000000000000 -0.18003694713115692139
DEP-SUBJ-pos:SYMBOL	0.00000000000000000000 -0.18002980947494506836
DEP-SUBJ-lemma:porcento	0.00000000000000000000 -0.18002259731292724609
DEP-SUBJ-sem:sem-percentage	0.00000000000000000000 -0.18001548945903778076
TOK+2-lemma:desespero	0.00000000000000000000 0.29178182780742645264
DEP-CDIR-lemma:caso	0.00000000000000000000 0.11633643135428428650
DEP-CDIR-sem:sem-event	0.00000000000000000000 0.15454018115997314453
DEP-MOD-lemma:negativo	0.00000000000000000000 0.19522339850664138794
TOK-2-lemma:sossego	0.00000000000000000000 0.23506943881511688232
TOK-3-lemma:ter	0.00000000000000000000 0.23505134135484695435
TOK+3-lemma:vila	0.00000000000000000000 0.23503333330154418945
DEP-SUBJ-lemma:vila	0.00000000000000000000 0.23501528054475784302
